title,year,cover_date,journal,authors,doi,eid,scopus_id,citedby_count,subtype,description,citations_per_year
"AI-Assisted Summarization of Radiologic Reports: Evaluating GPT3davinci, BARTcnn, LongT5booksum, LEDbooksum, LEDlegal, and LEDclinical",2024,2024-02-10,American Journal of Neuroradiology,Chien A.,10.3174/ajnr.A8102,2-s2.0-85184580682,SCOPUS_ID:85184580682,12,Article,,4.0
Application of a Denoising High-Resolution Deep Convolutional Neural Network to Improve Conspicuity of CSF-Venous Fistulas on Photon-Counting CT Myelography,2024,2024-01-10,American Journal of Neuroradiology,Madhavan A.A.,10.3174/ajnr.A8097,2-s2.0-85181835091,SCOPUS_ID:85181835091,12,Article,,4.0
Deep Learning-Based Reconstruction of 3D T1 SPACE Vessel Wall Imaging Provides Improved Image Quality with Reduced Scan Times: A Preliminary Study,2024,2024-11-01,American Journal of Neuroradiology,Bathla G.,10.3174/ajnr.A8382,2-s2.0-85208772122,SCOPUS_ID:85208772122,10,Article,,3.3333333333333335
Assessing the Emergence and Evolution of Artificial Intelligence and Machine Learning Research in Neuroradiology,2024,2024-09-01,American Journal of Neuroradiology,Boutet A.,10.3174/ajnr.A8252,2-s2.0-85198330583,SCOPUS_ID:85198330583,10,Article,,3.3333333333333335
Artificial Intelligence in the Future Landscape of Pediatric Neuroradiology: Opportunities and Challenges,2024,2024-05-01,American Journal of Neuroradiology,Bhatia A.,10.3174/ajnr.A8086,2-s2.0-85192795911,SCOPUS_ID:85192795911,8,Article,,2.6666666666666665
A Deep Learning Approach to Predict Recanalization First-Pass Effect following Mechanical Thrombectomy in Patients with Acute Ischemic Stroke,2024,2024-08-01,American Journal of Neuroradiology,Zhang H.,10.3174/ajnr.A8272,2-s2.0-85201133815,SCOPUS_ID:85201133815,7,Article,,2.3333333333333335
Identification of Multiclass Pediatric Low-Grade Neuroepithelial Tumor Molecular Subtype with ADC MR Imaging and Machine Learning,2024,2024-06-01,American Journal of Neuroradiology,Soldatelli M.D.,10.3174/ajnr.A8199,2-s2.0-85195620282,SCOPUS_ID:85195620282,5,Article,,1.6666666666666667
Identifying Patients with CSF-Venous Fistula Using Brain MRI: A Deep Learning Approach,2024,2024-04-01,American Journal of Neuroradiology,Faghani S.,10.3174/ajnr.A8173,2-s2.0-85189980932,SCOPUS_ID:85189980932,5,Article,,1.6666666666666667
Synthesizing Contrast-Enhanced MR Images from Noncontrast MR Images Using Deep Learning,2024,2024-03-01,American Journal of Neuroradiology,Murugesan G.,10.3174/ajnr.A8107,2-s2.0-85187192732,SCOPUS_ID:85187192732,5,Article,,1.6666666666666667
MRI-Based Prediction of Clinical Improvement after Ventricular Shunt Placement for Normal Pressure Hydrocephalus: Development and Evaluation of an Integrated Multisequence Machine Learning Algorithm,2024,2024-10-01,American Journal of Neuroradiology,Leary O.P.,10.3174/ajnr.A8372,2-s2.0-85205740610,SCOPUS_ID:85205740610,4,Article,,1.3333333333333333
MR Cranial Bone Imaging: Evaluation of Both Motion-Corrected and Automated Deep Learning Pseudo-CT Estimated MR Images,2024,2024-09-01,American Journal of Neuroradiology,Linkugel A.D.,10.3174/ajnr.A8335,2-s2.0-85202936348,SCOPUS_ID:85202936348,4,Article,,1.3333333333333333
Assessing the Performance of Artificial Intelligence Models: Insights from the American Society of Functional Neuroradiology Artificial Intelligence Competition,2024,2024-09-01,American Journal of Neuroradiology,Jiang B.,10.3174/ajnr.A8317,2-s2.0-85203854996,SCOPUS_ID:85203854996,4,Article,,1.3333333333333333
Artificial Intelligence Efficacy as a Function of Trainee Interpreter Proficiency: Lessons from a Randomized Controlled Trial,2024,2024-11-01,American Journal of Neuroradiology,Fussell D.A.,10.3174/ajnr.A8387,2-s2.0-85208771634,SCOPUS_ID:85208771634,3,Article,,1.0
Evaluation of an Artificial Intelligence Model for Identification of Mass Effect and Vasogenic Edema on CT of the Head,2024,2024-10-01,American Journal of Neuroradiology,Newbury-Chaet I.,10.3174/ajnr.A8358,2-s2.0-85205740990,SCOPUS_ID:85205740990,3,Article,,1.0
Deep Learning Denoising Improves CT Perfusion Image Quality in the Setting of Lower Contrast Dosing: A Feasibility Study,2024,2024-10-01,American Journal of Neuroradiology,Mossa-Basha M.,10.3174/ajnr.A8367,2-s2.0-85205740987,SCOPUS_ID:85205740987,3,Article,,1.0
Integrating Clinical Data and Radiomics and Deep Learning Features for End-to-End Delayed Cerebral Ischemia Prediction on Noncontrast CT,2024,2024-09-01,American Journal of Neuroradiology,Ban Q.Q.,10.3174/ajnr.A8301,2-s2.0-85203857564,SCOPUS_ID:85203857564,3,Article,,1.0
Compressed Sensitivity Encoding Artificial Intelligence Accelerates Brain Metastasis Imaging by Optimizing Image Quality and Reducing Scan Time,2024,2024-04-01,American Journal of Neuroradiology,Wang M.,10.3174/ajnr.A8161,2-s2.0-85189985964,SCOPUS_ID:85189985964,3,Article,,1.0
Understanding Bias in Artificial Intelligence: A Practice Perspective,2024,2024-04-01,American Journal of Neuroradiology,Davis M.A.,10.3174/ajnr.A8070,2-s2.0-85189974738,SCOPUS_ID:85189974738,3,Article,,1.0
Impact of SUSAN Denoising and ComBat Harmonization on Machine Learning Model Performance for Malignant Brain Neoplasms,2024,2024-09-01,American Journal of Neuroradiology,Bathla G.,10.3174/ajnr.A8280,2-s2.0-85203856308,SCOPUS_ID:85203856308,2,Article,,0.6666666666666666
The Future of Artificial Intelligence in Clinical Radiology: Savior or False Hope?,2024,2024-12-01,American Journal of Neuroradiology,Zaharchuk G.,10.3174/ajnr.A8550,2-s2.0-85212075168,SCOPUS_ID:85212075168,1,Editorial,,0.3333333333333333
Real-World Adoption of Artificial Intelligence in Radiology: Opportunities and Barriers,2024,2024-09-01,American Journal of Neuroradiology,Forghani R.,10.3174/ajnr.A8422,2-s2.0-85203859703,SCOPUS_ID:85203859703,0,Editorial,,0.0
Response to Letter Regarding the Article “Automated Segmentation of Intracranial Thrombus on NCCT and CTA in Patients with Acute Ischemic Stroke Using a Coarse-to-Fine Deep Learning Model”,2024,2024-01-10,American Journal of Neuroradiology,Zhu K.,10.3174/ajnr.A8075,2-s2.0-85181798141,SCOPUS_ID:85181798141,0,Letter,,0.0
Ethical Considerations and Fairness in the Use of Artificial Intelligence for Neuroradiology,2023,2023-11-01,American Journal of Neuroradiology,Filippi C.G.,10.3174/ajnr.A7963,2-s2.0-85176495999,SCOPUS_ID:85176495999,19,Article,,4.75
"Deep Learning–Generated Synthetic MR Imaging STIR Spine Images Are Superior in Image Quality and Diagnostically Equivalent to Conventional STIR: A Multicenter, Multireader Trial",2023,2023-08-01,American Journal of Neuroradiology,Tanenbaum L.N.,10.3174/ajnr.A7920,2-s2.0-85167842942,SCOPUS_ID:85167842942,18,Article,,4.5
Critical Appraisal of Artificial Intelligence Enabled Imaging Tools Using the Levels of Evidence System,2023,2023-05-01,American Journal of Neuroradiology,Pham N.,10.3174/ajnr.A7850,2-s2.0-85159542261,SCOPUS_ID:85159542261,17,Article,,4.25
Predicting Drug Treatment Outcomes in Childrens with Tuberous Sclerosis Complex-Related Epilepsy: A Clinical Radiomics Study,2023,2023-07-01,American Journal of Neuroradiology,Hu Z.,10.3174/ajnr.A7911,2-s2.0-85164624467,SCOPUS_ID:85164624467,13,Article,,3.25
Automated Segmentation of Intracranial Thrombus on NCCT and CTA in Patients with Acute Ischemic Stroke Using a Coarse-to-Fine Deep Learning Model,2023,2023-06-01,American Journal of Neuroradiology,Zhu K.,10.3174/ajnr.A7878,2-s2.0-85163907252,SCOPUS_ID:85163907252,13,Article,,3.25
An Artificial Intelligence Tool for Clinical Decision Support and Protocol Selection for Brain MRI,2023,2023-01-01,American Journal of Neuroradiology,Wong K.A.,10.3174/ajnr.A7736,2-s2.0-85146193201,SCOPUS_ID:85146193201,12,Article,,3.0
Development of Gestational Age-Based Fetal Brain and Intracranial Volume Reference Norms Using Deep Learning,2023,2023-01-01,American Journal of Neuroradiology,Tran C.B.N.,10.3174/ajnr.A7747,2-s2.0-85146193374,SCOPUS_ID:85146193374,11,Article,,2.75
Deep Learning Segmentation of the Nucleus Basalis of Meynert on 3T MRI,2023,2023-09-01,American Journal of Neuroradiology,Doss D.J.,10.3174/ajnr.A7950,2-s2.0-85170717292,SCOPUS_ID:85170717292,9,Article,,2.25
Automatic Localization of the Pons and Vermis on Fetal Brain MR Imaging Using a U-Net Deep Learning Model,2023,2023-10-01,American Journal of Neuroradiology,Vahedifard F.,10.3174/ajnr.A7978,2-s2.0-85173566311,SCOPUS_ID:85173566311,8,Article,,2.0
Systematic Literature Review of Machine Learning Algorithms Using Pretherapy Radiologic Imaging for Glioma Molecular Subtype Prediction,2023,2023-10-01,American Journal of Neuroradiology,Lost J.,10.3174/ajnr.A8000,2-s2.0-85173174423,SCOPUS_ID:85173174423,7,Article,,1.75
Deep Learning of Time-Signal Intensity Curves from Dynamic Susceptibility Contrast Imaging Enables Tissue Labeling and Prediction of Survival in Glioblastoma,2023,2023-05-01,American Journal of Neuroradiology,Yun J.,10.3174/ajnr.A7853,2-s2.0-85159544277,SCOPUS_ID:85159544277,7,Article,,1.75
Artificial Intelligence-Assisted Evaluation of the Spatial Relationship between Brain Arteriovenous Malformations and the Corticospinal Tract to Predict Postsurgical Motor Defects,2023,2023-01-01,American Journal of Neuroradiology,Jiao Y.,10.3174/ajnr.A7735,2-s2.0-85146193427,SCOPUS_ID:85146193427,7,Article,,1.75
Predicting Antiseizure Medication Treatment in Children with Rare Tuberous Sclerosis C omplex Related Epilepsy Using Deep Learning,2023,2023-12-01,American Journal of Neuroradiology,Wang H.,10.3174/ajnr.A8053,2-s2.0-85179642682,SCOPUS_ID:85179642682,6,Article,,1.5
Deep Learning–Based Synthetic TOF-MRA Generation Using Time-Resolved MRA in Fast Stroke Imaging,2023,2023-01-01,American Journal of Neuroradiology,You S.H.,10.3174/ajnr.A8063,2-s2.0-85179809471,SCOPUS_ID:85179809471,6,Article,,1.5
Crowd-Sourced Deep Learning for Intracranial Hemorrhage Identification: Wisdom of Crowds or Laissez-Faire,2023,2023-07-01,American Journal of Neuroradiology,Hofmeijer E.I.S.,10.3174/ajnr.A7902,2-s2.0-85164624728,SCOPUS_ID:85164624728,5,Article,,1.25
DWI-Based Radiomics Predicts the Functional Outcome of Endovascular Treatment in Acute Basilar Artery Occlusion,2023,2023-05-01,American Journal of Neuroradiology,Zhang X.,10.3174/ajnr.A7851,2-s2.0-85159541760,SCOPUS_ID:85159541760,5,Article,,1.25
Automated Determination of the H3 K27-Altered Status in Spinal Cord Diffuse Midline Glioma by Radiomics Based on T2-Weighted MR Images,2023,2023-01-01,American Journal of Neuroradiology,Li J.,10.3174/ajnr.A8056,2-s2.0-85179640625,SCOPUS_ID:85179640625,2,Article,,0.5
Automated Determination of the H3 K27-Altered Status in Spinal Cord Diffuse Midline Glioma by Radiomics Based on T2-Weighted MR Images,2023,2023-01-01,American Journal of Neuroradiology,Li J.,10.3174/ajnr.A8056,2-s2.0-85179640625,SCOPUS_ID:85179640625,2,Article,,0.5
Diagnostic Value of Multiparameter MRI-Based Radiomics in Pediatric Myelin Oligodendrocyte Glycoprotein Antibody Associated Disorders,2023,2023-01-01,American Journal of Neuroradiology,Ting L.,10.3174/ajnr.A8045,2-s2.0-85179779735,SCOPUS_ID:85179779735,2,Article,,0.5
